University,Course,Domain,Annual_Fee_INR,City,State_Province,Country,Region,Gender_Type,Website
PSG College of Technology,B.E. CSE,Engineering & Technology,100000,Coimbatore,Tamil Nadu,India,South India,Co-Ed,https://www.psgtech.edu
PSG College of Technology,M.E. Industrial Engineering,Engineering & Technology,90000,Coimbatore,Tamil Nadu,India,South India,Co-Ed,https://www.psgtech.edu
Coimbatore Institute of Technology,B.E. Mechanical,Engineering & Technology,75000,Coimbatore,Tamil Nadu,India,South India,Co-Ed,https://www.cit.edu.in
Sri Venkateswara University,B.Tech CSE,Engineering & Technology,60000,Tirupati,Andhra Pradesh,India,South India,Co-Ed,https://www.svuniversity.edu.in
Sri Venkateswara University,MBA,Management,75000,Tirupati,Andhra Pradesh,India,South India,Co-Ed,https://www.svuniversity.edu.in
Andhra University,B.Tech Electronics,Engineering & Technology,55000,Visakhapatnam,Andhra Pradesh,India,South India,Co-Ed,https://www.andhrauniversity.edu.in
Andhra University,M.Sc Marine Biology,Life Sciences,65000,Visakhapatnam,Andhra Pradesh,India,South India,Co-Ed,https://www.andhrauniversity.edu.in
JNTU Hyderabad,B.Tech CSE,Engineering & Technology,75000,Hyderabad,Telangana,India,South India,Co-Ed,https://www.jntuh.ac.in
JNTU Hyderabad,B.Tech EEE,Engineering & Technology,75000,Hyderabad,Telangana,India,South India,Co-Ed,https://www.jntuh.ac.in
University of Hyderabad,M.Sc Physics,Science & Research,40000,Hyderabad,Telangana,India,South India,Co-Ed,https://www.uohyd.ac.in
University of Hyderabad,M.Phil Economics,Social Sciences,35000,Hyderabad,Telangana,India,South India,Co-Ed,https://www.uohyd.ac.in
Osmania University,B.Com,Commerce & Finance,30000,Hyderabad,Telangana,India,South India,Co-Ed,https://www.osmania.ac.in
Osmania University,M.A. Political Science,Social Sciences,28000,Hyderabad,Telangana,India,South India,Co-Ed,https://www.osmania.ac.in
Indian Institute of Technology Hyderabad,B.Tech AI,Engineering & Technology,200000,Hyderabad,Telangana,India,South India,Co-Ed,https://www.iith.ac.in
Manipal Academy of Higher Education,MBBS,Medicine & Health,1100000,Manipal,Karnataka,India,South India,Co-Ed,https://www.manipal.edu
Manipal Academy of Higher Education,B.Tech CSE,Engineering & Technology,220000,Manipal,Karnataka,India,South India,Co-Ed,https://www.manipal.edu
Manipal Academy of Higher Education,BDS,Medicine & Health,750000,Manipal,Karnataka,India,South India,Co-Ed,https://www.manipal.edu
Bangalore University,B.Sc Computer Science,Science & Research,30000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.bangaloreuniversity.ac.in
Bangalore University,MBA,Management,80000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.bangaloreuniversity.ac.in
PESIT Bengaluru,B.E. CSE,Engineering & Technology,150000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.pes.edu
PESIT Bengaluru,M.Tech Machine Learning,Engineering & Technology,180000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.pes.edu
RV College of Engineering,B.E. CSE,Engineering & Technology,120000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.rvce.edu.in
National Law School of India University,B.A. LLB,Law,225000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.nls.ac.in
Christ University,BBA,Management,110000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.christuniversity.in
Christ University,B.Com (Finance),Commerce & Finance,90000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.christuniversity.in
Christ University,M.Sc Data Science,Engineering & Technology,150000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.christuniversity.in
Symbiosis Institute of Business Management Pune,MBA,Management,700000,Pune,Maharashtra,India,West India,Co-Ed,https://www.sibmpune.edu.in
Kerala University,B.Tech CSE,Engineering & Technology,65000,Thiruvananthapuram,Kerala,India,South India,Co-Ed,https://www.keralauniversity.ac.in
Kerala University,MBBS,Medicine & Health,600000,Thiruvananthapuram,Kerala,India,South India,Co-Ed,https://www.keralauniversity.ac.in
Cochin University of Science and Technology,B.Tech Marine Engineering,Engineering & Technology,140000,Kochi,Kerala,India,South India,Co-Ed,https://www.cusat.ac.in
Cochin University of Science and Technology,M.Tech CSE,Engineering & Technology,120000,Kochi,Kerala,India,South India,Co-Ed,https://www.cusat.ac.in
NIT Calicut,B.Tech CSE,Engineering & Technology,150000,Kozhikode,Kerala,India,South India,Co-Ed,https://www.nitc.ac.in
NIT Calicut,M.Tech Production,Engineering & Technology,130000,Kozhikode,Kerala,India,South India,Co-Ed,https://www.nitc.ac.in
Karunya Institute of Technology,B.Tech Aerospace,Engineering & Technology,160000,Coimbatore,Tamil Nadu,India,South India,Co-Ed,https://www.karunya.edu
Madurai Kamaraj University,M.Sc Chemistry,Science & Research,25000,Madurai,Tamil Nadu,India,South India,Co-Ed,https://www.mkuniversity.ac.in
Bharathidasan University,B.Sc Physics,Science & Research,22000,Tiruchirappalli,Tamil Nadu,India,South India,Co-Ed,https://www.bdu.ac.in
Stella Maris College,B.Sc Mathematics,Science & Research,50000,Chennai,Tamil Nadu,India,South India,Women,https://www.stellamariscollege.edu.in
Stella Maris College,M.A. English Literature,Arts & Humanities,45000,Chennai,Tamil Nadu,India,South India,Women,https://www.stellamariscollege.edu.in
Ethiraj College for Women,B.Sc Computer Science,Science & Research,48000,Chennai,Tamil Nadu,India,South India,Women,https://www.ethirajcollege.edu.in
Women's Christian College Chennai,B.A. Economics,Social Sciences,40000,Chennai,Tamil Nadu,India,South India,Women,https://www.wcc.edu.in
Presidency College Chennai,B.Sc Statistics,Science & Research,15000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.presidencychennai.edu.in
Loyola College Chennai,B.Com,Commerce & Finance,55000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.loyolachennai.edu.in
Loyola College Chennai,B.Sc Visual Communication,Arts & Humanities,60000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.loyolachennai.edu.in
IIT Delhi,B.Tech CSE,Engineering & Technology,200000,New Delhi,Delhi,India,North India,Co-Ed,https://www.iitd.ac.in
IIT Delhi,M.Tech Power Electronics,Engineering & Technology,210000,New Delhi,Delhi,India,North India,Co-Ed,https://www.iitd.ac.in
IIT Delhi,MBA (DMS),Management,400000,New Delhi,Delhi,India,North India,Co-Ed,https://www.iitd.ac.in
IIT Kanpur,B.Tech Aerospace,Engineering & Technology,200000,Kanpur,Uttar Pradesh,India,North India,Co-Ed,https://www.iitk.ac.in
IIT Kanpur,M.Sc Mathematics,Science & Research,90000,Kanpur,Uttar Pradesh,India,North India,Co-Ed,https://www.iitk.ac.in
IIT Roorkee,B.Tech Civil,Engineering & Technology,200000,Roorkee,Uttarakhand,India,North India,Co-Ed,https://www.iitr.ac.in
IIT Roorkee,B.Arch,Architecture & Design,200000,Roorkee,Uttarakhand,India,North India,Co-Ed,https://www.iitr.ac.in
Delhi University,B.A. (Hons) History,Arts & Humanities,20000,New Delhi,Delhi,India,North India,Co-Ed,https://www.du.ac.in
Delhi University,B.Sc (Hons) Chemistry,Science & Research,22000,New Delhi,Delhi,India,North India,Co-Ed,https://www.du.ac.in
Delhi University,LLB,Law,30000,New Delhi,Delhi,India,North India,Co-Ed,https://www.du.ac.in
Jawaharlal Nehru University,M.A. International Relations,Social Sciences,15000,New Delhi,Delhi,India,North India,Co-Ed,https://www.jnu.ac.in
Jawaharlal Nehru University,Ph.D. Linguistics,Arts & Humanities,12000,New Delhi,Delhi,India,North India,Co-Ed,https://www.jnu.ac.in
Miranda House Delhi,B.A. (Hons) English,Arts & Humanities,18000,New Delhi,Delhi,India,North India,Women,https://www.mirandahouse.ac.in
Lady Shri Ram College Delhi,B.Sc (Hons) Electronics,Engineering & Technology,20000,New Delhi,Delhi,India,North India,Women,https://www.lsr.edu.in
Lady Shri Ram College Delhi,B.A. (Hons) Psychology,Social Sciences,20000,New Delhi,Delhi,India,North India,Women,https://www.lsr.edu.in
Hindu College Delhi,B.Sc (Hons) Physics,Science & Research,18000,New Delhi,Delhi,India,North India,Men,https://www.hinducollege.ac.in
BITS Pilani,B.E. CSE,Engineering & Technology,250000,Pilani,Rajasthan,India,North India,Co-Ed,https://www.bits-pilani.ac.in
BITS Pilani,M.Sc. Biology,Life Sciences,180000,Pilani,Rajasthan,India,North India,Co-Ed,https://www.bits-pilani.ac.in
BITS Pilani,MBA,Management,350000,Pilani,Rajasthan,India,North India,Co-Ed,https://www.bits-pilani.ac.in
Panjab University,B.Tech IT,Engineering & Technology,80000,Chandigarh,Punjab,India,North India,Co-Ed,https://www.puchd.ac.in
Panjab University,M.Pharm,Medicine & Health,65000,Chandigarh,Punjab,India,North India,Co-Ed,https://www.puchd.ac.in
Amity University,B.Tech CSE (AI),Engineering & Technology,280000,Noida,Uttar Pradesh,India,North India,Co-Ed,https://www.amity.edu
Amity University,BBA,Management,180000,Noida,Uttar Pradesh,India,North India,Co-Ed,https://www.amity.edu
Amity University,B.Sc Nursing,Medicine & Health,150000,Noida,Uttar Pradesh,India,North India,Co-Ed,https://www.amity.edu
Aligarh Muslim University,B.Tech EEE,Engineering & Technology,70000,Aligarh,Uttar Pradesh,India,North India,Co-Ed,https://www.amu.ac.in
Aligarh Muslim University,MBBS,Medicine & Health,250000,Aligarh,Uttar Pradesh,India,North India,Co-Ed,https://www.amu.ac.in
Banaras Hindu University,B.Tech Mining,Engineering & Technology,60000,Varanasi,Uttar Pradesh,India,North India,Co-Ed,https://www.bhu.ac.in
Banaras Hindu University,MBBS,Medicine & Health,150000,Varanasi,Uttar Pradesh,India,North India,Co-Ed,https://www.bhu.ac.in
Banaras Hindu University,B.A. Sanskrit,Arts & Humanities,10000,Varanasi,Uttar Pradesh,India,North India,Co-Ed,https://www.bhu.ac.in
NIT Warangal,B.Tech Metallurgy,Engineering & Technology,150000,Warangal,Telangana,India,South India,Co-Ed,https://www.nitw.ac.in
NIT Warangal,M.Tech CSE,Engineering & Technology,140000,Warangal,Telangana,India,South India,Co-Ed,https://www.nitw.ac.in
IIT Bombay,B.Tech Chemical,Engineering & Technology,200000,Mumbai,Maharashtra,India,West India,Co-Ed,https://www.iitb.ac.in
IIT Bombay,M.Tech Nano Technology,Engineering & Technology,220000,Mumbai,Maharashtra,India,West India,Co-Ed,https://www.iitb.ac.in
IIT Bombay,MBA (SJMSOM),Management,500000,Mumbai,Maharashtra,India,West India,Co-Ed,https://www.iitb.ac.in
University of Mumbai,B.Sc Information Technology,Engineering & Technology,35000,Mumbai,Maharashtra,India,West India,Co-Ed,https://www.mu.ac.in
University of Mumbai,B.Com,Commerce & Finance,25000,Mumbai,Maharashtra,India,West India,Co-Ed,https://www.mu.ac.in
NMIMS Mumbai,MBA Pharma,Management,600000,Mumbai,Maharashtra,India,West India,Co-Ed,https://www.nmims.edu
NMIMS Mumbai,B.Tech CSE,Engineering & Technology,300000,Mumbai,Maharashtra,India,West India,Co-Ed,https://www.nmims.edu
SP Jain School of Global Management,BBA Global,Management,850000,Mumbai,Maharashtra,India,West India,Co-Ed,https://www.spjain.org
Savitribai Phule Pune University,B.E. Mechanical,Engineering & Technology,70000,Pune,Maharashtra,India,West India,Co-Ed,https://www.unipune.ac.in
Savitribai Phule Pune University,M.Sc Biotechnology,Life Sciences,65000,Pune,Maharashtra,India,West India,Co-Ed,https://www.unipune.ac.in
College of Engineering Pune (COEP),B.E. Civil,Engineering & Technology,100000,Pune,Maharashtra,India,West India,Co-Ed,https://www.coep.org.in
Nirma University,B.Tech Chemical,Engineering & Technology,175000,Ahmedabad,Gujarat,India,West India,Co-Ed,https://www.nirmauni.ac.in
Nirma University,MBA,Management,350000,Ahmedabad,Gujarat,India,West India,Co-Ed,https://www.nirmauni.ac.in
CEPT University,B.Arch,Architecture & Design,180000,Ahmedabad,Gujarat,India,West India,Co-Ed,https://www.cept.ac.in
Gujarat University,B.Pharm,Medicine & Health,50000,Ahmedabad,Gujarat,India,West India,Co-Ed,https://www.gujaratuniversity.ac.in
IIM Ahmedabad,MBA (PGP),Management,2300000,Ahmedabad,Gujarat,India,West India,Co-Ed,https://www.iima.ac.in
IIM Ahmedabad,Executive MBA,Management,3000000,Ahmedabad,Gujarat,India,West India,Co-Ed,https://www.iima.ac.in
Goa University,B.Sc Marine Science,Life Sciences,45000,Goa,Goa,India,West India,Co-Ed,https://www.unigoa.ac.in
BITS Goa,B.E. Mechanical,Engineering & Technology,250000,Goa,Goa,India,West India,Co-Ed,https://www.bits-pilani.ac.in/goa
IIT Kharagpur,B.Tech CSE,Engineering & Technology,200000,Kharagpur,West Bengal,India,East India,Co-Ed,https://www.iitkgp.ac.in
IIT Kharagpur,M.Arch,Architecture & Design,180000,Kharagpur,West Bengal,India,East India,Co-Ed,https://www.iitkgp.ac.in
Jadavpur University,B.E. Electronics,Engineering & Technology,40000,Kolkata,West Bengal,India,East India,Co-Ed,https://www.jaduniv.edu.in
Jadavpur University,M.Sc Pharmaceutical Chemistry,Medicine & Health,35000,Kolkata,West Bengal,India,East India,Co-Ed,https://www.jaduniv.edu.in
Calcutta University,B.Sc Statistics,Science & Research,18000,Kolkata,West Bengal,India,East India,Co-Ed,https://www.caluniv.ac.in
Calcutta University,M.A. Sociology,Social Sciences,15000,Kolkata,West Bengal,India,East India,Co-Ed,https://www.caluniv.ac.in
Presidency University Kolkata,B.Sc Physics,Science & Research,20000,Kolkata,West Bengal,India,East India,Co-Ed,https://www.presiuniv.ac.in
NIT Durgapur,B.Tech Chemical,Engineering & Technology,140000,Durgapur,West Bengal,India,East India,Co-Ed,https://www.nitdgp.ac.in
Utkal University,M.A. Odia Literature,Arts & Humanities,12000,Bhubaneswar,Odisha,India,East India,Co-Ed,https://www.utkaluniversity.ac.in
NIT Rourkela,B.Tech Metallurgy,Engineering & Technology,140000,Rourkela,Odisha,India,East India,Co-Ed,https://www.nitrkl.ac.in
NIT Rourkela,M.Tech CSE,Engineering & Technology,130000,Rourkela,Odisha,India,East India,Co-Ed,https://www.nitrkl.ac.in
IIM Calcutta,MBA (PGP),Management,2700000,Kolkata,West Bengal,India,East India,Co-Ed,https://www.iimcal.ac.in
IIT Indore,B.Tech CSE,Engineering & Technology,200000,Indore,Madhya Pradesh,India,Central India,Co-Ed,https://www.iiti.ac.in
Devi Ahilya University,B.Tech CSE,Engineering & Technology,70000,Indore,Madhya Pradesh,India,Central India,Co-Ed,https://www.dauniv.ac.in
IIM Indore,MBA,Management,2200000,Indore,Madhya Pradesh,India,Central India,Co-Ed,https://www.iimidr.ac.in
NIT Raipur,B.Tech Mining,Engineering & Technology,140000,Raipur,Chhattisgarh,India,Central India,Co-Ed,https://www.nitrr.ac.in
IIT Guwahati,B.Tech CSE,Engineering & Technology,200000,Guwahati,Assam,India,North East India,Co-Ed,https://www.iitg.ac.in
IIT Guwahati,M.Sc Physics,Science & Research,90000,Guwahati,Assam,India,North East India,Co-Ed,https://www.iitg.ac.in
Tezpur University,B.Tech ECE,Engineering & Technology,80000,Tezpur,Assam,India,North East India,Co-Ed,https://www.tezu.ernet.in
NIT Silchar,B.Tech Civil,Engineering & Technology,140000,Silchar,Assam,India,North East India,Co-Ed,https://www.nits.ac.in
Gauhati University,M.Sc Biotechnology,Life Sciences,35000,Guwahati,Assam,India,North East India,Co-Ed,https://www.gauhati.ac.in
IIM Bangalore,MBA (PGP),Management,2400000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.iimb.ac.in
IIM Bangalore,Executive MBA,Management,3200000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.iimb.ac.in
ISB Hyderabad,PGP (MBA),Management,4000000,Hyderabad,Telangana,India,South India,Co-Ed,https://www.isb.edu
XLRI Jamshedpur,MBA HR,Management,2400000,Jamshedpur,Jharkhand,India,East India,Co-Ed,https://www.xlri.ac.in
MDI Gurgaon,PGPM,Management,2100000,Gurgaon,Haryana,India,North India,Co-Ed,https://www.mdi.ac.in
FMS Delhi,MBA,Management,200000,New Delhi,Delhi,India,North India,Co-Ed,https://www.fms.edu
AIIMS Delhi,MBBS,Medicine & Health,1390,New Delhi,Delhi,India,North India,Co-Ed,https://www.aiims.edu
AIIMS Delhi,MD General Medicine,Medicine & Health,1200,New Delhi,Delhi,India,North India,Co-Ed,https://www.aiims.edu
AIIMS Bangalore,MBBS,Medicine & Health,1390,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.aiimsbangalore.edu.in
CMC Vellore,MBBS,Medicine & Health,85000,Vellore,Tamil Nadu,India,South India,Co-Ed,https://www.cmch-vellore.edu
CMC Vellore,B.Sc Nursing,Medicine & Health,60000,Vellore,Tamil Nadu,India,South India,Women,https://www.cmch-vellore.edu
JIPMER Puducherry,MBBS,Medicine & Health,5000,Puducherry,Puducherry,India,South India,Co-Ed,https://jipmer.edu.in
Kasturba Medical College Manipal,MBBS,Medicine & Health,1400000,Manipal,Karnataka,India,South India,Co-Ed,https://www.manipal.edu/kmc-manipal
NALSAR Hyderabad,B.A. LLB,Law,180000,Hyderabad,Telangana,India,South India,Co-Ed,https://www.nalsar.ac.in
NLU Delhi,B.A. LLB,Law,215000,New Delhi,Delhi,India,North India,Co-Ed,https://www.nludelhi.ac.in
NUJS Kolkata,B.A. LLB,Law,190000,Kolkata,West Bengal,India,East India,Co-Ed,https://www.nujs.edu
NLU Jodhpur,B.A. LLB,Law,180000,Jodhpur,Rajasthan,India,North India,Co-Ed,https://www.nlujodhpur.ac.in
National Institute of Design Ahmedabad,B.Des Industrial,Architecture & Design,250000,Ahmedabad,Gujarat,India,West India,Co-Ed,https://www.nid.edu
National Institute of Design Ahmedabad,M.Des Communication,Architecture & Design,220000,Ahmedabad,Gujarat,India,West India,Co-Ed,https://www.nid.edu
NID Bengaluru,B.Des Interaction,Architecture & Design,220000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.nid.edu/bengaluru
IIT Bombay (IDC),M.Des Industrial,Architecture & Design,250000,Mumbai,Maharashtra,India,West India,Co-Ed,https://www.idc.iitb.ac.in
Pearl Academy,B.Des Fashion,Architecture & Design,350000,New Delhi,Delhi,India,North India,Co-Ed,https://www.pearlacademy.com
NIFT Delhi,B.Des Fashion Technology,Architecture & Design,200000,New Delhi,Delhi,India,North India,Co-Ed,https://nift.ac.in
NIFT Chennai,B.Des Textile,Architecture & Design,190000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://nift.ac.in/chennai
ACJ Chennai,PG Journalism,Media & Communication,350000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.acjchennai.com
IIMC Delhi,PG Journalism,Media & Communication,85000,New Delhi,Delhi,India,North India,Co-Ed,https://www.iimc.nic.in
Symbiosis Institute of Media & Communication,B.Sc Mass Communication,Media & Communication,280000,Pune,Maharashtra,India,West India,Co-Ed,https://www.simc.edu
Tamil Nadu Agricultural University,B.Sc Agriculture,Agriculture,55000,Coimbatore,Tamil Nadu,India,South India,Co-Ed,https://www.tnau.ac.in
G.B. Pant University of Agriculture,B.Sc Agriculture,Agriculture,45000,Pantnagar,Uttarakhand,India,North India,Co-Ed,https://www.gbpuat.ac.in
IARI Delhi,M.Sc Agronomy,Agriculture,25000,New Delhi,Delhi,India,North India,Co-Ed,https://www.iari.res.in
Massachusetts Institute of Technology (MIT),B.S. Computer Science,Engineering & Technology,5759000,Cambridge,Massachusetts,USA,North America,Co-Ed,https://www.mit.edu
Massachusetts Institute of Technology (MIT),M.S. AI & Machine Learning,Engineering & Technology,6200000,Cambridge,Massachusetts,USA,North America,Co-Ed,https://www.mit.edu
Massachusetts Institute of Technology (MIT),MBA (Sloan),Management,8200000,Cambridge,Massachusetts,USA,North America,Co-Ed,https://www.mit.edu
Stanford University,B.S. Computer Science,Engineering & Technology,6000000,Stanford,California,USA,North America,Co-Ed,https://www.stanford.edu
Stanford University,MBA (GSB),Management,9200000,Stanford,California,USA,North America,Co-Ed,https://www.stanford.edu
Stanford University,M.S. Data Science,Engineering & Technology,6500000,Stanford,California,USA,North America,Co-Ed,https://www.stanford.edu
Harvard University,B.A. Economics,Social Sciences,5900000,Cambridge,Massachusetts,USA,North America,Co-Ed,https://www.harvard.edu
Harvard University,MBA (HBS),Management,11000000,Cambridge,Massachusetts,USA,North America,Co-Ed,https://www.harvard.edu
Harvard University,MD,Medicine & Health,6800000,Cambridge,Massachusetts,USA,North America,Co-Ed,https://www.harvard.edu
Carnegie Mellon University,B.S. Computer Science,Engineering & Technology,6100000,Pittsburgh,Pennsylvania,USA,North America,Co-Ed,https://www.cmu.edu
Carnegie Mellon University,M.S. Robotics,Engineering & Technology,5800000,Pittsburgh,Pennsylvania,USA,North America,Co-Ed,https://www.cmu.edu
UC Berkeley,B.S. Electrical Engineering,Engineering & Technology,4400000,Berkeley,California,USA,North America,Co-Ed,https://www.berkeley.edu
UC Berkeley,MBA (Haas),Management,7500000,Berkeley,California,USA,North America,Co-Ed,https://www.berkeley.edu
University of Michigan,B.S. Mechanical Engineering,Engineering & Technology,5200000,Ann Arbor,Michigan,USA,North America,Co-Ed,https://www.umich.edu
Georgia Tech,M.S. Computer Science (OMSCS),Engineering & Technology,700000,Atlanta,Georgia,USA,North America,Co-Ed,https://www.gatech.edu
Georgia Tech,B.S. Industrial Engineering,Engineering & Technology,3800000,Atlanta,Georgia,USA,North America,Co-Ed,https://www.gatech.edu
Columbia University,M.S. Financial Engineering,Commerce & Finance,7000000,New York,New York,USA,North America,Co-Ed,https://www.columbia.edu
New York University (Stern),MBA,Management,8500000,New York,New York,USA,North America,Co-Ed,https://www.stern.nyu.edu
University of Texas Austin,B.S. Computer Science,Engineering & Technology,2800000,Austin,Texas,USA,North America,Co-Ed,https://www.utexas.edu
Purdue University,B.S. Aeronautical Engineering,Engineering & Technology,3300000,West Lafayette,Indiana,USA,North America,Co-Ed,https://www.purdue.edu
Arizona State University,B.S. Sustainability,Science & Research,2500000,Tempe,Arizona,USA,North America,Co-Ed,https://www.asu.edu
University of Illinois Urbana-Champaign,B.S. Computer Science,Engineering & Technology,4200000,Champaign,Illinois,USA,North America,Co-Ed,https://www.illinois.edu
Johns Hopkins University,MPH Public Health,Medicine & Health,6500000,Baltimore,Maryland,USA,North America,Co-Ed,https://www.jhu.edu
Yale University,LLM,Law,7200000,New Haven,Connecticut,USA,North America,Co-Ed,https://www.yale.edu
Yale University,B.A. Political Science,Social Sciences,5800000,New Haven,Connecticut,USA,North America,Co-Ed,https://www.yale.edu
Princeton University,B.S. Mathematics,Science & Research,6000000,Princeton,New Jersey,USA,North America,Co-Ed,https://www.princeton.edu
University of Oxford,"B.A. Philosophy, Politics & Economics",Social Sciences,19000000,Oxford,England,United Kingdom,Europe,Co-Ed,https://www.ox.ac.uk
University of Oxford,MBA (Said),Management,11000000,Oxford,England,United Kingdom,Europe,Co-Ed,https://www.ox.ac.uk
University of Oxford,M.Sc Computer Science,Engineering & Technology,5800000,Oxford,England,United Kingdom,Europe,Co-Ed,https://www.ox.ac.uk
University of Cambridge,B.A./M.Eng Engineering,Engineering & Technology,19000000,Cambridge,England,United Kingdom,Europe,Co-Ed,https://www.cam.ac.uk
University of Cambridge,MBA (Judge),Management,10500000,Cambridge,England,United Kingdom,Europe,Co-Ed,https://www.cam.ac.uk
Imperial College London,B.Eng Mechanical Engineering,Engineering & Technology,5000000,London,England,United Kingdom,Europe,Co-Ed,https://www.imperial.ac.uk
Imperial College London,M.Sc Data Science,Engineering & Technology,5500000,London,England,United Kingdom,Europe,Co-Ed,https://www.imperial.ac.uk
University College London (UCL),B.Sc Computer Science,Engineering & Technology,4600000,London,England,United Kingdom,Europe,Co-Ed,https://www.ucl.ac.uk
University College London (UCL),LLM,Law,5200000,London,England,United Kingdom,Europe,Co-Ed,https://www.ucl.ac.uk
London School of Economics (LSE),B.Sc Economics,Social Sciences,4800000,London,England,United Kingdom,Europe,Co-Ed,https://www.lse.ac.uk
London School of Economics (LSE),MSc Finance,Commerce & Finance,5600000,London,England,United Kingdom,Europe,Co-Ed,https://www.lse.ac.uk
University of Edinburgh,B.Sc Artificial Intelligence,Engineering & Technology,3500000,Edinburgh,Scotland,United Kingdom,Europe,Co-Ed,https://www.ed.ac.uk
King's College London,MBBS,Medicine & Health,5200000,London,England,United Kingdom,Europe,Co-Ed,https://www.kcl.ac.uk
University of Manchester,B.Eng Chemical Engineering,Engineering & Technology,3500000,Manchester,England,United Kingdom,Europe,Co-Ed,https://www.manchester.ac.uk
University of Warwick,B.Sc Mathematics,Science & Research,3300000,Coventry,England,United Kingdom,Europe,Co-Ed,https://www.warwick.ac.uk
University of Toronto,B.Sc Computer Science,Engineering & Technology,3000000,Toronto,Ontario,Canada,North America,Co-Ed,https://www.utoronto.ca
University of Toronto,MBA (Rotman),Management,6200000,Toronto,Ontario,Canada,North America,Co-Ed,https://www.utoronto.ca
